SK_ID_CURR,DAYS_BIRTH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN
100001,-19241,0.7524,0.7896,0.1595,-735.0,-93.14285714285714,0.42857142857142855,0.0
100005,-18064,0.565,0.2917,0.4329,-190.66666666666666,-54.333333333333336,0.6666666666666666,0.0
100013,-20038,0.507,0.6997,0.611,-1737.5,-775.5,0.0,0.0
100028,-13976,0.526,0.51,0.613,-1401.75,-651.5,0.4166666666666667,0.0
100038,-13040,0.2021,0.4258,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100042,-18604,0.507,0.629,0.3928,-1325.5,-541.0714285714286,0.5714285714285714,0.0
100057,-16685,0.7607,0.5713,0.6514,-1377.375,-887.375,0.125,0.0
100065,-9516,0.5654,0.613,0.3123,-716.4615384615385,-436.0,0.3076923076923077,0.0
100066,-12744,0.7188,0.8086,0.5225,-542.6666666666666,-233.0,0.3333333333333333,0.1111111111111111
100067,-10395,0.2106,0.4448,0.1941,-579.5294117647059,-263.88235294117646,0.29411764705882354,0.5652173913043478
100074,-23670,0.507,0.66,0.2986,-1469.3333333333333,-1021.0,0.0,0.0
100090,-15524,0.757,0.3938,0.4365,-261.5,-15.0,1.0,0.25
100091,-12278,0.2632,0.47,0.4153,-630.3333333333334,-12.0,0.3333333333333333,0.3333333333333333
100092,-19687,0.305,0.2703,0.3757,-1194.7692307692307,-558.6153846153846,0.5384615384615384,0.0
100106,-12091,0.507,0.4858,0.5796,-1070.0,-809.0,0.0,0.0
100107,-13563,0.3442,0.6846,0.2637,-17.0,-17.0,1.0,0.0
100109,-19375,0.583,0.6353,0.3062,-1155.6153846153845,-649.4615384615385,0.23076923076923078,0.4444444444444444
100117,-22705,0.5874,0.647,0.653,-1197.125,-683.625,0.25,0.0
100128,-10962,0.339,0.375,0.3474,-1246.357142857143,-953.9642857142857,0.14285714285714285,0.23076923076923078
100141,-17955,0.697,0.7427,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
100150,-10507,0.5903,0.601,0.761,-2211.75,-733.75,0.0,0.25
100168,-22557,0.507,0.709,0.746,-1407.0,-779.0,0.0,0.0
100169,-22784,0.866,0.6387,0.1595,-187.0,-36.0,1.0,0.29411764705882354
100170,-11948,0.507,0.661,0.44,-1137.3333333333333,-267.77777777777777,0.4444444444444444,0.25
100171,-13172,0.507,0.6875,0.6626,-1515.625,-899.75,0.375,0.0
100172,-15394,0.507,0.3489,0.535,-581.6666666666666,-113.33333333333333,0.3333333333333333,0.0
100184,-21150,0.507,0.2632,0.474,-528.7272727272727,-247.0909090909091,0.45454545454545453,0.36363636363636365
100187,-21040,0.507,0.266,0.595,-595.5,-343.5,0.25,0.14285714285714285
100212,-15773,0.507,0.763,0.3572,-78.0,-16.0,1.0,0.0
100222,-17796,0.507,0.6787,0.254,-1238.857142857143,-687.2142857142857,0.35714285714285715,0.25
100223,-12994,0.4478,0.7856,0.613,-787.7142857142857,-390.42857142857144,0.5714285714285714,0.16666666666666666
100232,-14445,0.507,0.7847,0.5674,-827.5,-157.5,1.0,0.0
100241,-9187,0.507,0.09094,0.633,-433.5,-253.0,0.5,0.0
100245,-13365,0.638,0.671,0.546,-1649.6,-610.2,0.4,0.0
100253,-15631,0.3987,0.6084,0.677,-1890.6666666666667,-1217.0,0.2222222222222222,0.0
100256,-10125,0.507,0.4966,0.32,-982.3333333333334,-583.3333333333334,0.3333333333333333,0.5882352941176471
100271,-23139,0.507,0.7495,0.7207,-1384.625,-842.75,0.125,0.07692307692307693
100278,-10834,0.4307,0.4722,0.3,-489.6666666666667,-71.66666666666667,1.0,0.6666666666666666
100280,-14342,0.8574,0.746,0.6816,-1565.4,-798.4,0.2,0.25
100306,-8743,0.507,0.3835,0.492,-1123.5,-753.5,0.0,0.0
100311,-17709,0.6694,0.3123,0.1644,-869.4285714285714,-537.8571428571429,0.42857142857142855,0.125
100312,-23313,0.7183,0.482,0.8213,-1896.3333333333333,-1148.3333333333333,0.6666666666666666,0.0
100330,-13900,0.323,0.5063,0.492,-1411.0833333333333,-906.6666666666666,0.08333333333333333,0.0
100331,-17884,0.507,0.7563,0.519,-1062.9444444444443,-467.43650793650795,0.3333333333333333,0.0
